review_id,governorate,service,rating,has_rating,review_text,review_text_norm,review_type,review_date_approx,sentiment,sentiment_score
a28a2f7a85098099,القاهرة,مكتب السجل المدني,3.0,True,كنت رايح ابدل شهادة ميلاد لحفيدتي مولودة في الخارج لشهادة ميلاد مصرية .. الملاحظات: * لا يوجد موقف سيارات في ميدان العباسية ويفضل اوبر او مواصلات عادية * كنت واخد معايا كل صور مستندات ابني وزوجته .. الموظفة قالتلي كل ده ملوش لازمة وقامت باستخراج شهادة ميلاد اصلية لابني وزوجته وشهادة وثيقة زواج عشان تقبل المعاملة * استغرق الامر ساعة ونص واستلمت ايصال باستلام الشهادة بعد ٣ ايام من سجل مدني التابع لعنواني * دفعت رسوم حوالي ٦٥٠ ج وكان الامر 😩 مرهق جدا,كنت رايح ابدل شهادة ميلاد لحفيدتي مولودة في الخارج لشهادة ميلاد مصرية .. الملاحظات: * لا يوجد موقف سيارات في ميدان العباسية ويفضل اوبر او مواصلات عادية * كنت واخد معايا كل صور مستندات ابني وزوجته .. الموظفة قالتلي كل ده ملوش لازمة وقامت باستخراج شهادة ميلاد اصلية لابني وزوجته وشهادة وثيقة زواج عشان تقبل المعاملة * استغرق الامر ساعة ونص واستلمت ايصال باستلام الشهادة بعد ٣ ايام من سجل مدني التابع لعنواني * دفعت رسوم حوالي ٦٥٠ ج وكان الامر 😩 مرهق جدا,both,2026-05-30,neutral,0.817
58f112f0816d0147,القاهرة,مكتب السجل المدني,4.0,True,ينقصة ان يكون في ارشادات واضحة للمستخدمين .. المستخدم يأخذ وقت حتي يجد مكان المعاملة . مكان ممتاز ونظيف وكل العاملين يتعاملو بذوق وحسن استقبال,ينقصة ان يكون في ارشادات واضحة للمستخدمين .. المستخدم ياخذ وقت حتي يجد مكان المعاملة . مكان ممتاز ونظيف وكل العاملين يتعاملو بذوق وحسن استقبال,both,2026-03-01,neutral,0.66
29bb067d1425a9a1,القاهرة,مكتب السجل المدني,5.0,True,تجربة فريدة من نوعها في الخدمات المدنية حيث يجتمع كل الموظفين المكلفين باستخراج المستندات المدنية بطايق شخصية شهادات ميلاد شهادات وفاة والكثير من الخدمات المدنية بمعاونة رجال الشرطة المحترمين متعاونين دائما في تقديم الخدمات داخل المكان الرائع ده واتمني التجربة دى تتعمم علي جميع قطاعات الخدمات المدنية داخل جمهورية مصر العربية,تجربة فريدة من نوعها في الخدمات المدنية حيث يجتمع كل الموظفين المكلفين باستخراج المستندات المدنية بطايق شخصية شهادات ميلاد شهادات وفاة والكثير من الخدمات المدنية بمعاونة رجال الشرطة المحترمين متعاونين دائما في تقديم الخدمات داخل المكان الرائع ده واتمني التجربة دي تتعمم علي جميع قطاعات الخدمات المدنية داخل جمهورية مصر العربية,both,2026-04-30,positive,0.983
0d0f313d49fbc8fa,القاهرة,مكتب السجل المدني,5.0,True,خدمة فوق الممتازة وفيها تيسير كبير على المواطنين ، اتمنى كل المصالح الحكومية تكون بنفس الكفاءة,خدمة فوق الممتازة وفيها تيسير كبير علي المواطنين ، اتمني كل المصالح الحكومية تكون بنفس الكفاءة,both,2026-06-08,positive,0.988
6d09649ee9de5a70,القاهرة,مكتب السجل المدني,,False,لما تروح تريد منهم أي معاملها يطولوا المعاملة وكأنك تعامل للدخول إلى أروبا او أمريكا وبعض الموظفين ليس عندهم أخلاق,لما تروح تريد منهم اي معاملها يطولوا المعاملة وكانك تعامل للدخول الي اروبا او امريكا وبعض الموظفين ليس عندهم اخلاق,complaint,2026-06-08,negative,0.99
eaa6fb9b101e656b,القاهرة,مكتب السجل المدني,5.0,True,في شبابيك كان مكتوب عليها الدفع بالفيزا فقط بس اخذ مني كاش فاشطا غالبا الطريقتين شغالين,في شبابيك كان مكتوب عليها الدفع بالفيزا فقط بس اخذ مني كاش فاشطا غالبا الطريقتين شغالين,both,2025-12-01,neutral,0.916
9c0b09be5adb19d1,القاهرة,مكتب السجل المدني,5.0,True,مكان محترم .. انا باجي من اخر الدنيا عشان اخلص ورقي فيه لما تحتاج,مكان محترم .. انا باجي من اخر الدنيا عشان اخلص ورقي فيه لما تحتاج,both,2026-04-30,positive,0.959
d2fc1e1b790eca2d,القاهرة,مكتب السجل المدني,,False,يجبروننا على الدفع بالفيزا وبعد ما بننتظر ف الصف وقت طويل نفاجأ بمطالبتهم لنا بالدفع عن طريق الفيزا,يجبروننا علي الدفع بالفيزا وبعد ما بننتظر ف الصف وقت طويل نفاجا بمطالبتهم لنا بالدفع عن طريق الفيزا,complaint,2026-05-30,neutral,0.57
01bbb18f9e0ffdf7,القاهرة,مكتب السجل المدني,4.0,True,تحفه منظم جدآ وخدمة سريعة في بعض الموظفين في الخدمة السريعة كم ست كده رخمين,تحفه منظم جدا وخدمة سريعة في بعض الموظفين في الخدمة السريعة كم ست كده رخمين,both,2026-04-30,positive,0.883
468d717923511153,القاهرة,مكتب السجل المدني,3.0,True,هتدفع شوية بس هتخلص مصلحتك خلي بالك وانت بتدفع فلوس في الخزنة علشان الموظفة بتضرب الوصل مرتين ف بتخصم منك ضعف ثمن الحاجة,هتدفع شوية بس هتخلص مصلحتك خلي بالك وانت بتدفع فلوس في الخزنة علشان الموظفة بتضرب الوصل مرتين ف بتخصم منك ضعف ثمن الحاجة,both,2026-06-15,negative,0.919
